signI	signJ	{measureName}
1(N01)	2(N01)	708.5025080266262
1(N01)	EN~a	499.721851433478
1(N01)	1(N14)	434.46732975488163
1(N01)	GAL~a	428.5445349914904
1(N14)	2(N01)	417.6213166859849
1(N01)	AN	383.6798538566648
1(N01)	3(N01)	376.10582580971413
2(N01)	3(N01)	320.3179457474588
1(N14)	3(N01)	314.045854125186
1(N14)	5(N01)	312.34233081230616
1(N01)	U4	290.665008483745
1(N01)	SZE~a	289.80961243008426
1(N01)	SAL	265.0775917431814
1(N14)	4(N01)	258.97726138257167
2(N01)	EN~a	255.28046022037552
1(N14)	2(N14)	250.95220045160585
1(N01)	PAP~a	249.27217100212673
1(N01)	GI	246.79172668328704
1(N01)	1(N57)	240.7814425351594
1(N01)	BU~a	237.89564092136325
1(N01)	NUN~a	233.58744635947772
1(N01)	4(N01)	229.57262695092314
1(N01)	5(N01)	224.87160115365356
1(N01)	SANGA~a	223.507997540695
1(N01)	SZU	218.0622402937428
1(N01)	A	215.29188103269917
2(N01)	2(N14)	212.64420543123197
1(N01)	2(N14)	212.4229947460442
1(N01)	E2~a	211.8874544599868
1(N14)	1(N34)	211.21287342803546
2(N01)	4(N01)	209.3844191099968
2(N01)	5(N01)	207.54058257150749
1(N01)	NAM2	206.71978976035615
1(N01)	BA	198.45815608549736
1(N01)	3(N57)	190.79503092821824
1(N01)	UDU~a	182.81480240548632
AN	EN~a	177.36762263136072
2(N14)	3(N01)	177.0488309286719
1(N14)	EN~a	174.70853293892543
1(N01)	ME~a	174.17586041650247
EN~a	PAP~a	172.69860178497424
2(N01)	AN	169.72004337214165
2(N01)	U4	168.2624147999335
1(N01)	SI	164.72655766591998
1(N14)	SZE~a	162.4917485501963
EN~a	NUN~a	162.46062190653262
1(N01)	SAG	162.3789454424846
1(N01)	AB~a	162.01613948411043
1(N57)	U4	161.71723596165273
2(N01)	SZE~a	161.540100022722
1(N01)	DU	161.10693096798607
3(N01)	5(N01)	158.54257054097033
1(N01)	HI	157.5916262201031
2(N14)	5(N01)	157.29172033994195
1(N14)	6(N01)	156.3757003663672
2(N01)	SAL	153.85242095327172
1(N34)	2(N14)	152.16026337058673
1(N01)	DUG~b	151.5334363539205
2(N01)	PAP~a	150.93678462462555
1(N01)	SZU2	150.90867060419413
3(N01)	EN~a	150.23469796458178
3(N01)	4(N01)	149.4433069457379
1(N01)	KI	148.92013416775822
2(N14)	4(N01)	148.81735430727124
1(N01)	KU6~a	146.93569928331164
1(N14)	3(N14)	145.97877814869705
DU	EN~a	145.3133323628673
1(N01)	TUR	144.81720074959512
1(N01)	NE~a	141.26725515228284
1(N01)	BAR	140.956969659149
1(N01)	GISZ	140.64848041264898
1(N57)	2(N01)	136.84869676431674
1(N01)	GA~a	133.17524988858665
NAM2	SZE~a	132.3467066176852
3(N01)	SZE~a	132.14229953373402
1(N01)	SZITA~a1	131.591194403127
1(N01)	PA~a	130.21664866161532
1(N01)	TUG2~a	129.61042664032178
EN~a	SZU	129.1597418214285
2(N14)	3(N14)	127.14438540536126
1(N01)	3(N14)	127.07473731569894
1(N01)	AB2	127.01079790574724
1(N34)	3(N14)	126.03272575621203
1(N14)	UDU~a	125.38315696774978
2(N14)	SZE~a	124.8994995312234
1(N01)	NI~a	124.30833492027924
2(N01)	SZU	123.87568455226202
2(N01)	UDU~a	122.4959711757627
EN~a	SZE~a	121.97543646043515
1(N14)	U4	121.48714914209349
2(N01)	GI	121.04948750279982
2(N01)	3(N14)	120.96164153493258
1(N14)	8(N01)	120.09071200729971
1(N01)	TE	119.80467185923513
1(N01)	DUG~c	118.1479745581352
GAL~a	SANGA~a	117.44102808426328
1(N01)	6(N01)	116.48776106098492
2(N01)	BA	115.666622848709
2(N01)	BU~a	115.40925437638316
1(N01)	MUSZEN	114.90663105366538
BU~a	PAP~a	114.36435221264091
1(N01)	SZUBUR	114.14190296715311
1(N01)	KU3~a	113.94713626587206
1(N14)	AN	112.88620819894903
2(N01)	E2~a	112.63265835857035
2(N01)	3(N57)	112.40462324259397
1(N01)	IB~a	111.93474232716082
1(N01)	1(N34)	110.81126306631388
1(N01)	KUR~a	110.16728934705795
1(N57)	BAR	109.71690659015067
1(N01)	GAR	109.36397580938018
3(N14)	5(N01)	109.30367810038729
3(N01)	AN	108.79391060100123
EN~a	GAL~a	108.60225258364049
4(N01)	5(N01)	107.98690722438846
EN~a	U4	106.59299617568453
1(N01)	MUSZ3~a	105.7589204874174
1(N34)	2(N01)	105.02209634681117
3(N57)	EN~a	103.97955977569168
EN~a	SAL	103.6245155649542
EN~a	KI	103.46637422900038
5(N01)	EN~a	102.82226799022766
3(N57)	PAP~a	102.62590134146302
3(N01)	U4	101.72305832521933
2(N01)	A	101.26114995658453
1(N14)	7(N01)	101.25813758467217
1(N14)	BA	100.75638917955291
1(N14)	PAP~a	100.27895352352057
3(N01)	3(N14)	99.52184092821216
PAP~a	SAL	99.49596445168123
BU~a	EN~a	99.49175136426828
2(N14)	EN~a	99.37469294730964
2(N01)	NUN~a	99.15935427849406
4(N01)	SZE~a	98.1883303836146
2(N01)	6(N01)	97.68573436735505
EN~a	HI	97.57270042550704
1(N14)	SAL	97.47675382209121
1(N14)	1(N57)	97.27354931883283
AN	MUSZ3~a	95.82946203344359
E2~a	EN~a	95.26054154919926
2(N01)	SZU2	95.06397829371902
3(N14)	4(N01)	94.18546415314778
BA	EN~a	94.05884884997549
1(N01)	MASZ	93.7416702647468
1(N01)	1(N08)	91.72261330490565
1(N01)	TAK4~a	91.3082216796718
A	EN~a	90.11562853720623
2(N01)	DU	90.07220004921884
1(N14)	GI	89.81066995930725
EN~a	GI	89.77945411525513
EN~a	SI	89.76879772725702
4(N01)	EN~a	89.73682218218454
2(N01)	GAL~a	89.3862549970858
3(N01)	SAL	89.3336849062697
1(N01)	SUHUR	88.53457487869726
2(N14)	6(N01)	88.43909688226157
1(N01)	DA~a	88.12758296307636
2(N01)	ME~a	87.41737329177977
EN~a	PA~a	87.35945263623314
1(N01)	7(N01)	87.26814112006137
1(N34)	4(N14)	87.2363947114192
2(N01)	SI	87.16809715831751
1(N01)	SU~a	87.07487169726745
1(N01)	UD5~a	86.9199988670179
EN~a	SZU2	86.6432656746652
EN~a	ME~a	86.18925682951773
1(N01)	DI	85.87805576002654
1(N01)	ERIN	85.83201591706363
1(N57)	3(N01)	85.82043959565708
EN~a	SAG	85.36727552835605
3(N01)	BA	84.68004764472134
2(N01)	SANGA~a	84.41648171671059
EN~a	SANGA~a	83.49628734842653
3(N01)	PAP~a	82.87593700801196
1(N01)	1(N24)	82.81762769849962
1(N14)	4(N14)	82.0180716938889
3(N01)	GI	81.98295852642146
SZE~a	U4	81.00211995358099
1(N14)	E2~a	80.3478754374292
1(N01)	TUR3~a	80.32805858533625
1(N01)	GU4	80.23220081701567
1(N01)	MA	79.94796361267048
3(N01)	SZU	79.9001351246382
3(N01)	6(N01)	79.720744370937
1(N45)	SZE~a	79.64397427840298
1(N14)	9(N01)	79.59596591495234
1(N34)	5(N01)	79.52243459618401
3(N01)	UDU~a	79.26433508968856
3(N14)	SZE~a	79.26205427227708
4(N01)	U4	79.25521652488763
1(N01)	U2~b	79.13003204402199
1(N01)	SIG2~b	78.94482135490314
5(N01)	6(N01)	78.32556771930818
BA	GI	78.23969128745036
AN	NUN~a	78.13433005688753
DU	PAP~a	78.10845075412686
1(N01)	APIN~a	77.99982381643873
PAP~a	SZE~a	77.75839467968873
5(N01)	U4	77.70301608020796
1(N01)	DUG~a	77.60018769848081
1(N14)	GAR	77.40568176907037
A	AN	77.23733594969272
2(N01)	4(N14)	76.93243271858493
2(N01)	NI~a	76.7095844674318
4(N01)	6(N01)	76.35384329043731
AN	SZU	75.84895407898107
1(N01)	GA2~a1	75.8184426594509
AN	PAP~a	75.67667427942762
1(N57)	EN~a	75.52072421254222
2(N01)	KI	75.48444696352948
GI	SZE~a	75.26221611981758
1(N01)	RU	75.21463651528904
PAP~a	SZU	75.20197289351907
EN~a	IB~a	75.161280481707
5(N01)	UDU~a	74.88650206309917
5(N01)	SZE~a	74.77979771550123
2(N01)	SAG	74.76649350152638
NAM2	PAP~a	74.74051596132959
BA	SZE~a	74.46088910542392
3(N57)	U4	74.41292581421781
1(N14)	5(N14)	74.3247593790052
2(N01)	KU6~a	74.29331046197804
1(N01)	8(N01)	74.1325263281663
KUR~a	SAL	73.92786299144042
1(N57)	SAL	73.77406064935008
1(N57)	5(N01)	73.74705169466199
3(N57)	E2~a	73.6750234533128
1(N01)	SUKKAL	73.6066436369117
4(N14)	5(N01)	73.52623413429859
AN	SAL	73.51146380601708
1(N01)	KISAL~b1	73.3952602039529
1(N01)	GI6	73.38595015483527
EN~a	NAM2	73.29140307489692
1(N24)	1(N39~a)	72.94156091160775
AN	U4	72.58435721962637
1(N01)	PIRIG~b1	72.58242659297264
2(N01)	TUG2~a	72.25034265613893
1(N01)	ERIM~a	71.84411348755697
1(N01)	SZE3	71.72091746540896
1(N58)	BAD~a	71.68462736683169
NI~a	RU	71.63224728232328
