signI	signJ	{measureName}
1(N01)	2(N01)	732.7371491232808
1(N01)	EN~a	512.1670050252218
1(N01)	1(N14)	448.03340568946055
1(N01)	GAL~a	434.10891819728926
1(N14)	2(N01)	432.5906115694244
1(N01)	AN	390.11086929692294
1(N01)	3(N01)	389.5727785056188
2(N01)	3(N01)	331.33014209910834
1(N14)	3(N01)	323.6384195440494
1(N14)	5(N01)	322.01276718294264
1(N01)	U4	298.39715025582467
1(N01)	SZE~a	297.28784446617396
1(N01)	SAL	271.54329648808607
1(N14)	4(N01)	265.58336056936616
2(N01)	EN~a	262.6428631843374
1(N14)	2(N14)	260.9217658291151
1(N01)	PAP~a	258.23855255306563
1(N01)	GI	251.35495620384975
1(N01)	1(N57)	250.74348849953495
1(N01)	BU~a	241.7163670775152
1(N01)	NUN~a	238.3249134665721
1(N01)	4(N01)	236.2026647473796
1(N01)	5(N01)	232.67452957264598
1(N01)	SANGA~a	229.52966687071216
1(N01)	SZU	222.7139845925551
1(N01)	A	220.44665441542597
1(N01)	2(N14)	220.12423882411449
2(N01)	2(N14)	219.82904977198703
1(N14)	1(N34)	218.40631294864437
2(N01)	4(N01)	216.81309584887202
1(N01)	E2~a	216.3161333094971
2(N01)	5(N01)	214.37434595794457
1(N01)	NAM2	211.89100967809787
1(N01)	BA	204.7876112920124
1(N01)	3(N57)	195.23291897978274
1(N01)	UDU~a	188.42314361834593
AN	EN~a	182.94821181475487
1(N14)	EN~a	181.66395429597267
2(N14)	3(N01)	181.1844062694384
1(N57)	U4	179.7194468454038
1(N01)	ME~a	177.72597625431078
EN~a	PAP~a	175.93132052416672
2(N01)	AN	174.03979750099487
2(N01)	U4	173.47548970573692
EN~a	NUN~a	170.75048647034518
1(N01)	SI	167.41877819015843
1(N14)	SZE~a	167.3518633421601
1(N01)	SAG	166.4720126034646
2(N01)	SZE~a	165.82978315159403
1(N01)	DU	165.76686365284084
1(N01)	AB~a	165.00541157290218
3(N01)	5(N01)	163.75889109422073
1(N14)	6(N01)	161.70119096839778
2(N14)	5(N01)	161.24285223547778
1(N01)	HI	160.806122441573
1(N34)	2(N14)	157.42228779047016
2(N01)	SAL	156.78532902205987
2(N01)	PAP~a	155.39695416046973
3(N01)	4(N01)	155.0924558390666
3(N01)	EN~a	154.29944222330664
1(N01)	SZU2	154.08835055231262
2(N14)	4(N01)	152.9067043452752
1(N01)	KI	152.7206053336567
1(N01)	DUG~b	152.14477961062548
1(N14)	3(N14)	151.52885412576342
1(N01)	KU6~a	151.37334247503222
DU	EN~a	147.46192174961578
1(N01)	TUR	147.1811899237401
1(N01)	NE~a	145.7101607608164
1(N01)	BAR	144.93497282238474
NAM2	SZE~a	144.38235127627027
1(N57)	2(N01)	143.81209937723955
1(N01)	GISZ	142.07450519520228
1(N01)	GA~a	135.8879325348016
3(N01)	SZE~a	135.78061407827911
1(N01)	SZITA~a1	133.69405897113268
1(N01)	PA~a	133.61087081814023
1(N01)	TUG2~a	132.39101264250172
1(N01)	AB2	131.82271819716595
EN~a	SZU	131.25197885565498
1(N01)	3(N14)	131.18025161441028
2(N14)	3(N14)	130.9060164808183
1(N14)	UDU~a	130.84122175344888
1(N34)	3(N14)	129.2862464409591
2(N14)	SZE~a	128.20168948416412
1(N01)	NI~a	127.86093889440619
2(N01)	UDU~a	127.5504429365508
2(N01)	SZU	126.58826444090506
1(N14)	U4	125.32684123668228
EN~a	SZE~a	125.31697458488351
2(N01)	3(N14)	124.72918887389352
2(N01)	GI	123.38215714697748
1(N14)	8(N01)	122.85460931338837
1(N01)	TE	122.33310778611158
1(N01)	DUG~c	121.20556226126561
2(N01)	BA	120.6812433726261
1(N01)	6(N01)	120.46741612288419
GAL~a	SANGA~a	120.05165175323891
1(N01)	SZUBUR	118.51344366328814
2(N01)	BU~a	117.22854709623812
1(N01)	MUSZEN	117.21876326824433
1(N01)	1(N34)	116.893746256195
BU~a	PAP~a	116.25489152601442
1(N01)	KU3~a	116.16951601383205
1(N14)	AN	115.85959601585343
2(N01)	3(N57)	115.22836258989375
2(N01)	E2~a	115.14260612745305
1(N01)	IB~a	114.80801443669847
1(N01)	KUR~a	113.92152295573115
3(N14)	5(N01)	112.56202074347857
EN~a	GAL~a	112.08357597494148
1(N01)	GAR	111.9975009455378
3(N01)	AN	111.75186431599406
4(N01)	5(N01)	111.10470417313809
EN~a	U4	110.5160015642383
1(N57)	BAR	110.08579065902354
1(N34)	2(N01)	109.48345041973
1(N01)	MUSZ3~a	108.94698869721555
3(N57)	EN~a	106.62679266023525
5(N01)	EN~a	106.30870520455478
EN~a	SAL	106.20486517999076
EN~a	KI	105.9724213783801
1(N14)	BA	105.47608900731194
3(N57)	PAP~a	104.36244782409138
3(N01)	U4	104.00336132991374
1(N14)	7(N01)	103.9193946352943
2(N01)	A	103.8702303623407
1(N14)	PAP~a	103.59246378503624
2(N01)	NUN~a	102.9036289016708
2(N14)	EN~a	102.61290587102813
1(N14)	1(N57)	102.36389567700219
PAP~a	SAL	102.04052223166046
3(N01)	3(N14)	101.90253690952173
BU~a	EN~a	101.57346017477138
2(N01)	6(N01)	101.22305677555958
4(N01)	SZE~a	100.57728990209908
1(N14)	SAL	100.30847011885238
EN~a	HI	98.95453195975536
2(N01)	SZU2	97.84637616846594
E2~a	EN~a	97.63236011182114
AN	MUSZ3~a	97.25266579413685
3(N14)	4(N01)	96.91045230764631
BA	EN~a	96.61034153431875
1(N01)	MASZ	96.21102802441938
1(N14)	GI	92.95531126835577
1(N01)	1(N08)	92.89619394288745
1(N01)	TAK4~a	92.81067551273313
2(N01)	GAL~a	92.66430178041522
A	EN~a	92.55838392049398
2(N01)	DU	92.27191215206615
2(N14)	6(N01)	92.01133431843554
4(N01)	EN~a	91.96840511404089
EN~a	SI	91.78188785762089
3(N01)	SAL	91.76152217365814
EN~a	GI	91.59098377042815
EN~a	SZU2	91.39851480612039
1(N01)	SUHUR	91.0397067968327
1(N01)	7(N01)	90.4883376915281
1(N57)	3(N01)	90.03638780475204
1(N34)	4(N14)	89.91957136573004
1(N01)	DA~a	89.74499981737695
EN~a	PA~a	89.70812889818671
1(N01)	UD5~a	89.60426740852873
2(N01)	ME~a	89.55907692157464
2(N01)	SI	89.15101058798103
1(N01)	SU~a	89.01039320544908
2(N01)	SANGA~a	88.53174866570635
3(N01)	BA	88.16073520699936
EN~a	ME~a	87.94361778228068
1(N01)	DI	87.58329625039808
1(N01)	ERIN	87.37805150857729
EN~a	SAG	87.2931295290179
EN~a	SANGA~a	85.46838482189979
3(N01)	PAP~a	84.75265104235093
1(N01)	1(N24)	84.66184436775738
1(N14)	4(N14)	84.39603730484849
3(N01)	GI	84.22900781059923
NI~a	RU	83.87238346356813
1(N14)	E2~a	83.51096973069329
SZE~a	U4	83.42328267508253
GA~a	ZATU753	83.2734962406015
3(N01)	UDU~a	82.51395889577275
1(N14)	9(N01)	82.49428758882512
1(N45)	SZE~a	82.44287646218947
3(N01)	SZU	82.42719686877366
1(N01)	GU4	82.40165114972017
1(N34)	5(N01)	82.30237172040636
1(N01)	MA	81.91901018088035
3(N01)	6(N01)	81.8416713354765
3(N14)	SZE~a	81.77267001881124
4(N01)	U4	81.59405571886975
1(N01)	TUR3~a	81.36852169459482
5(N01)	6(N01)	81.3113049894063
BA	GI	80.4464989693607
AN	NUN~a	80.29764591416078
1(N01)	U2~b	80.29749719904582
PAP~a	SZE~a	80.18911375251697
1(N01)	APIN~a	80.16989575491888
1(N01)	SIG2~b	79.93865062450311
1(N14)	GAR	79.8232506637415
2(N01)	4(N14)	79.81049404330697
5(N01)	U4	79.79454342326103
KUR~a	SAL	79.75283942983529
1(N01)	DUG~a	79.55315856875251
DU	PAP~a	79.37630582741959
BAR	U4	79.27721920436187
2(N01)	NI~a	79.24822743502097
