signI	signJ	{measureName}
1(N01)	2(N01)	767.212266516367
1(N01)	1(N14)	544.87931127366
1(N01)	EN~a	542.0464563322536
1(N14)	2(N01)	498.51255992994413
1(N01)	3(N01)	465.998556018134
2(N01)	3(N01)	399.1322024287142
1(N01)	AN	382.1226042928791
1(N01)	GAL~a	370.840279729428
1(N14)	3(N01)	366.80797714363
1(N14)	5(N01)	356.5378725076274
1(N01)	U4	341.3714487317982
1(N01)	SZE~a	335.4687248887766
1(N01)	5(N01)	324.4583778017046
2(N01)	EN~a	320.3638571306682
1(N01)	4(N01)	319.822776894402
1(N14)	2(N14)	315.1615425598981
1(N14)	4(N01)	304.7862830634989
2(N01)	4(N01)	289.2319908280823
2(N01)	5(N01)	287.35532429352685
1(N01)	1(N57)	282.032715705511
2(N01)	2(N14)	279.7435248199992
1(N01)	SAL	277.48559398117044
1(N01)	2(N14)	276.2473724594902
1(N01)	PAP~a	273.66308443633784
1(N01)	GI	270.85728871180277
1(N01)	BU~a	260.66076471939584
1(N01)	NUN~a	259.99764935683737
1(N01)	SANGA~a	255.40319855353647
1(N14)	1(N34)	254.85973697127744
1(N01)	BA	248.6518361079006
1(N01)	SZU	236.0745935729164
2(N14)	3(N01)	235.38567175042127
1(N01)	E2~a	232.873200886282
1(N01)	A	230.94996451845145
3(N01)	5(N01)	228.73531841737872
1(N01)	NAM2	228.34918276416147
1(N14)	EN~a	226.8346078853835
3(N01)	4(N01)	222.6816557551512
AN	EN~a	218.99657502689683
1(N01)	UDU~a	217.55372867925539
2(N01)	SZE~a	213.45883888086502
EN~a	PAP~a	212.29464569410806
1(N01)	3(N57)	209.98341772641854
1(N14)	SZE~a	207.34387713724894
2(N01)	U4	206.40189996423354
1(N14)	3(N14)	204.86932988426295
2(N01)	AN	204.85164612850468
2(N14)	5(N01)	203.8791027632857
3(N01)	EN~a	198.63055170177742
1(N01)	ME~a	197.74182886480546
1(N14)	6(N01)	191.63623748358393
1(N01)	AB~a	191.61294326615717
1(N01)	DU	191.4445591332659
1(N34)	2(N14)	188.61505292692246
1(N01)	SAG	187.2201597549247
2(N14)	4(N01)	186.78521112963344
2(N01)	PAP~a	185.59738996533773
1(N01)	SI	184.6791260092487
1(N57)	U4	179.7343258422235
EN~a	NUN~a	179.55463343172923
2(N01)	SAL	178.93877400929298
1(N57)	2(N01)	178.4468883423874
1(N01)	3(N14)	178.24001989467462
1(N01)	HI	178.13478878376418
3(N01)	SZE~a	175.65374741287758
DU	EN~a	175.49730188436484
1(N01)	6(N01)	172.52567356495678
1(N01)	KI	172.49309684925282
2(N14)	3(N14)	172.25045739835892
1(N01)	SZU2	171.74157024672087
2(N01)	3(N14)	170.90050804624315
1(N01)	1(N34)	168.0056119536654
1(N01)	KU6~a	167.5727070976944
EN~a	SZE~a	167.48138398449947
4(N01)	5(N01)	167.34341028243313
2(N01)	BA	166.72694761405353
1(N01)	PA~a	165.7710714764407
1(N01)	TUR	164.9501809465095
1(N14)	U4	162.3711535962647
1(N01)	NE~a	160.9008732997986
1(N34)	2(N01)	160.87560695705855
1(N14)	UDU~a	159.82422948242598
2(N01)	UDU~a	159.7442675176717
1(N01)	BAR	159.05149292995551
EN~a	SZU	157.35798898505718
2(N14)	SZE~a	155.53419912180263
2(N01)	GI	154.4470242572127
1(N01)	GA~a	153.65329773865355
1(N34)	3(N14)	153.25655096715687
5(N01)	EN~a	152.21174494145743
2(N01)	SZU	151.3984627628319
2(N01)	6(N01)	148.8659287860498
EN~a	U4	148.72396256052576
1(N01)	SZITA~a1	148.4301137150935
1(N01)	TE	148.14179892974406
1(N14)	8(N01)	147.32508977731692
3(N01)	U4	146.06517924793602
NAM2	SZE~a	144.81876683689774
3(N14)	5(N01)	144.75137698841394
EN~a	GAL~a	143.23287950099422
1(N14)	BA	143.21148757371913
2(N01)	E2~a	143.03892300937824
2(N14)	EN~a	142.99684502301466
BU~a	EN~a	142.71937400258477
1(N14)	AN	142.59074136385522
EN~a	SAL	142.26477532125546
1(N01)	AB2	141.59205566484854
BU~a	PAP~a	141.5707662059145
3(N57)	EN~a	141.21329016574074
1(N01)	NI~a	140.92092921243386
GAL~a	SANGA~a	140.5739777840227
2(N01)	BU~a	140.33722896539518
3(N01)	AN	140.0466346247533
EN~a	GI	137.83074181334317
2(N01)	3(N57)	136.60044339996566
1(N14)	1(N57)	136.38366245808217
3(N01)	3(N14)	136.26351848240648
4(N01)	EN~a	135.67062281858685
1(N01)	SZUBUR	135.006494589399
1(N14)	7(N01)	133.2697795812894
A	EN~a	133.211868894679
1(N14)	GI	132.64950472162857
2(N01)	A	132.51680091577617
1(N01)	GAR	132.00247482576748
1(N01)	DUG~b	131.90005468777017
1(N01)	IB~a	130.67333101931945
1(N01)	GISZ	129.39105729712804
1(N01)	TUG2~a	128.03238821370735
4(N01)	SZE~a	127.7666247757181
2(N01)	NUN~a	127.56347418570192
3(N14)	4(N01)	127.53992980273372
1(N01)	7(N01)	127.46167513014942
E2~a	EN~a	127.44999920614151
2(N01)	GAL~a	126.80962277138622
1(N01)	MUSZ3~a	126.13247401923066
3(N01)	BA	125.78673619272554
EN~a	KI	125.6259434704431
EN~a	SANGA~a	125.56514337024234
1(N14)	4(N14)	125.53677586680676
BA	EN~a	125.01675642931555
1(N14)	PAP~a	124.14113739722956
3(N01)	6(N01)	124.04492900326585
