signI	signJ	{measureName}
1(N01)	2(N01)	778.8566557841639
1(N01)	1(N14)	554.0772961413355
1(N01)	EN~a	550.5375224035193
1(N14)	2(N01)	508.5899811477262
1(N01)	3(N01)	473.2445370109377
2(N01)	3(N01)	405.926289323445
1(N01)	AN	385.7029470559137
1(N01)	GAL~a	374.1346554806098
1(N14)	3(N01)	372.34158639511026
1(N14)	5(N01)	362.0016594789743
1(N01)	U4	346.39365038635486
1(N01)	SZE~a	340.37059282648704
1(N01)	5(N01)	329.5742741611559
2(N01)	EN~a	325.8149769895289
1(N01)	4(N01)	324.53053708235865
1(N14)	2(N14)	321.52372394208396
1(N14)	4(N01)	308.91325075076554
2(N01)	4(N01)	293.7862752549489
2(N01)	5(N01)	292.19301001538446
1(N01)	1(N57)	287.4818409255086
2(N01)	2(N14)	285.03647261512003
1(N01)	SAL	281.97499768913
1(N01)	2(N14)	281.6400661862621
1(N01)	PAP~a	280.605521141797
1(N01)	GI	273.83753784193465
1(N01)	NUN~a	263.9887339932252
1(N01)	BU~a	263.72887088986334
1(N01)	SANGA~a	260.049466468363
1(N14)	1(N34)	259.83204192564307
1(N01)	BA	253.86914690797815
1(N01)	SZU	238.75687558265534
2(N14)	3(N01)	238.73143325612205
1(N01)	E2~a	235.99783128690092
1(N01)	A	234.57755896886084
1(N14)	EN~a	232.14775212388656
3(N01)	5(N01)	231.7445712010817
1(N01)	NAM2	231.39156832308223
3(N01)	4(N01)	225.72447364483025
AN	EN~a	222.190353603985
1(N01)	UDU~a	221.4468146900253
2(N01)	SZE~a	216.20674494170132
EN~a	PAP~a	214.69484491678844
1(N01)	3(N57)	213.6599401096842
2(N01)	U4	210.2112399643384
1(N14)	SZE~a	209.76446432054027
1(N14)	3(N14)	208.62919673981062
2(N14)	5(N01)	207.28537192513554
2(N01)	AN	207.1798300799117
3(N01)	EN~a	201.40382171321338
1(N01)	ME~a	199.73796455079807
1(N14)	6(N01)	194.84890999743453
1(N01)	DU	194.82170507265732
1(N01)	AB~a	193.44044161262264
1(N34)	2(N14)	192.60573201821268
1(N01)	SAG	189.3300605271281
1(N57)	U4	189.23069216457702
2(N14)	4(N01)	188.8143076555002
2(N01)	PAP~a	188.20389481291005
1(N01)	SI	186.21267893931972
EN~a	NUN~a	184.49501058186388
1(N57)	2(N01)	182.7669714604851
1(N01)	3(N14)	181.3428634121702
2(N01)	SAL	180.59524228515596
1(N01)	HI	180.01414306458713
3(N01)	SZE~a	177.80000915862243
DU	EN~a	176.810975835938
1(N01)	KI	175.59170251672384
1(N01)	6(N01)	175.58863905308797
2(N14)	3(N14)	174.70025900289346
2(N01)	3(N14)	174.08873563656394
1(N01)	SZU2	173.5239574871237
1(N01)	1(N34)	172.18050568746045
2(N01)	BA	170.7523952148227
4(N01)	5(N01)	170.1829532308213
EN~a	SZE~a	170.12868299635704
1(N01)	KU6~a	170.12389743342658
1(N01)	PA~a	167.78981809555336
1(N01)	TUR	166.74840309530708
1(N14)	U4	165.5388279702461
1(N34)	2(N01)	164.2825553162172
2(N01)	UDU~a	163.10254241605014
1(N14)	UDU~a	163.03064675632945
1(N01)	NE~a	162.76609824213077
1(N01)	BAR	160.86564660187005
EN~a	SZU	158.90521693688385
2(N14)	SZE~a	157.35174614772774
2(N01)	GI	156.00256978055742
1(N34)	3(N14)	155.45870177896094
1(N01)	GA~a	155.22899463051107
5(N01)	EN~a	154.96195348900378
2(N01)	SZU	153.29988739449723
2(N01)	6(N01)	151.78230895690746
EN~a	U4	151.40837191279243
1(N01)	TE	150.2066439330963
NAM2	SZE~a	150.09980983791542
1(N01)	SZITA~a1	149.70039419135446
1(N14)	8(N01)	149.0024269108999
3(N01)	U4	148.83218910744176
1(N14)	BA	146.84602829044715
3(N14)	5(N01)	146.73804189383762
