signI	signJ	{measureName}
1(N01)	GAL~a	388.44031870463016
1(N01)	EN~a	305.27400659008305
1(N01)	AN	199.20001366738978
1(N01)	DUG~b	197.67261904761904
1(N01)	1(N14)	182.95473044728442
1(N14)	2(N01)	182.77239224526755
1(N01)	U4	156.82360811925108
1(N14)	5(N01)	155.26655405567936
1(N14)	3(N01)	143.59523719518904
1(N01)	NAM2	132.31338960134252
1(N14)	1(N34)	132.16804647493888
1(N01)	GISZ	131.80587606837614
1(N57)	U4	130.07553966945707
1(N01)	SAL	129.1238730582619
1(N01)	SZE~a	129.1162714360947
1(N14)	4(N01)	125.820256429587
1(N01)	PAP~a	125.03940511141042
1(N01)	BU~a	110.47965848713092
1(N01)	1(N57)	105.65696165080075
2(N01)	EN~a	104.0032686469067
1(N01)	GI	102.89900360012899
1(N01)	BA	100.75842754917859
EN~a	NUN~a	100.28828253366216
1(N01)	NUN~a	100.25756163504244
1(N01)	SANGA~a	99.4059706014659
EN~a	PAP~a	98.62110644097854
2(N01)	2(N14)	96.31010570956384
AN	EN~a	94.60267632928628
1(N01)	2(N01)	93.28778010206537
1(N34)	2(N14)	92.60804848746024
DU	EN~a	90.45033355533351
1(N01)	3(N57)	90.34890525430804
1(N01)	E2~a	88.87458747613171
1(N01)	SZU	88.56263673506587
1(N14)	SZE~a	86.72989957668752
NAM2	SZE~a	86.29985437268046
2(N14)	3(N01)	84.58374029370965
1(N01)	SI	84.29235718529837
2(N01)	U4	81.37325363249546
1(N57)	BAR	81.01406244684104
1(N01)	2(N14)	79.36095917670217
2(N01)	SZE~a	78.8155173336428
AN	MUSZ3~a	78.38347904818491
1(N34)	3(N14)	76.73776302172199
2(N14)	5(N01)	76.47599198187434
2(N14)	4(N01)	74.87869783982786
1(N01)	DUG~c	74.51565185621979
1(N14)	U4	73.64753196446509
BU~a	PAP~a	71.86235450386472
1(N01)	KUR~a	71.51040404527245
1(N01)	UDU~a	69.78958516973222
3(N01)	SZE~a	67.56582356837777
1(N01)	TUR	67.51378345914117
1(N01)	TUG2~a	67.47420740250459
1(N01)	AB~a	67.24439489257153
1(N14)	EN~a	66.93753910848683
2(N14)	SZE~a	66.20544711566383
1(N14)	6(N01)	65.33954436086785
EN~a	SZE~a	64.58169999934705
1(N01)	SAG	63.69962693395354
1(N01)	DU	62.35401399769822
1(N24)	2(N39~a)	62.08059474213789
2(N01)	SAL	61.336208860761275
GAL~a	SANGA~a	60.233330297153806
1(N01)	HI	60.223860879103846
1(N58)	BAD~a	59.91714951714948
EN~a	SZU	59.419104158841954
GA~a	ZATU753	58.84052675480691
2(N01)	PAP~a	58.820362198188306
1(N01)	BAR	58.45423290160131
1(N01)	3(N01)	57.556327486765824
1(N01)	3(N14)	57.53924679122046
1(N01)	KU3~a	57.09479266347686
BA	EN~a	56.450347709341855
4(N01)	SZE~a	55.83155327674113
EN~a	SZU2	55.59175538802123
1(N14)	UDU~a	55.27054848746023
PAP~a	SU~a	55.0851949521067
KUR~a	SAL	54.873178721862914
1(N01)	SZITA~a1	54.628921445982954
3(N01)	EN~a	53.948655730189586
1(N01)	SZU2	53.85814518814519
2(N01)	BA	53.36652041905237
NI~a	RU	52.78366268234687
1(N14)	8(N01)	52.702673870247374
1(N57)	2(N01)	52.55746132146333
1(N14)	BA	52.54529286073402
EN~a	U4	52.48516695878112
1(N34)	4(N14)	51.69887245966966
BA	GI	51.59963922125047
2(N01)	AN	51.54018159128451
1(N45)	SZE~a	50.84430504136387
1(N01)	1(N08)	50.46479442351652
EN~a	HI	50.32816919393006
2(N57)	U4	50.17855512087521
1(N57)	DUG~c	49.86425295086552
1(N01)	A	49.776636371585234
EN~a	PA~a	49.49316286867438
3(N14)	5(N01)	49.29357744508671
1(N01)	NE~a	48.91596910590046
1(N01)	MUSZEN	48.72805805305807
EN~a	TUR	48.345306979318394
1(N34)	2(N01)	48.144219172640234
3(N57)	PAP~a	47.14303232930188
1(N01)	SU~a	46.987920168067234
2(N01)	GI	46.90694145200478
EN~a	KI	46.635463147963144
1(N57)	SAL	46.633955178808094
2(N01)	3(N14)	46.21558470768996
1(N01)	PA~a	46.095617944147364
1(N01)	AB2	46.06334906641701
PAP~a	SAL	45.96723667205899
EN~a	GI	45.809315914974476
SZE~a	U4	45.8071352896537
EN~a	SAL	45.75843826624634
1(N24)	SZE~a	45.75605417410957
3(N01)	3(N14)	45.575720899327685
BA	SZE~a	45.5357857828446
3(N01)	U4	45.53165013846928
NAM2	PAP~a	45.01350117782038
1(N01)	1(N24)	44.61405181802054
1(N01)	GA~a	44.31334735812288
3(N57)	U4	44.169225970300865
BU~a	NAM2	44.112788178005566
EN~a	IB~a	44.112455599955595
1(N01)	ME~a	43.912436452436445
GI	SZE~a	43.77457454825876
1(N01)	KI	43.44727004477004
EN~a	SAG	43.14575177098144
1(N01)	NI~a	43.0395748858984
1(N01)	SILA3~a	42.674405969284265
BU~a	DU6~a	42.44902310749386
1(N14)	7(N01)	42.37252420781831
A	EN~a	42.359435009434996
1(N14)	1(N57)	42.33776293366076
3(N14)	SZE~a	42.173196819520356
1(N14)	2(N14)	41.71977547818239
NAM2	PA~a	41.60654623154622
BAR	SAL	41.334584859584844
EN~a	SI	41.253313762653335
E2~a	EN~a	41.154233497247596
3(N01)	SAL	40.87092760180997
5(N14)	SZE~a	40.8356941261353
BU~a	EN~a	40.78529184415139
1(N01)	4(N01)	40.60053196610891
E2~a	NUN~a	40.54714123492013
1(N01)	1(N34)	40.374402541902555
DU	PAP~a	40.30665942244888
KAB	NAM2	39.84093406593406
2(N01)	SZU	39.8045967679908
2(N01)	UDU~a	39.61535409035408
2(N01)	4(N14)	39.40926045059172
4(N14)	5(N01)	39.21174538395899
1(N57)	BA	39.0436649349962
1(N24)	1(N39~a)	38.954532215290726
1(N01)	1(N39~a)	38.866524368304525
1(N01)	TAK4~a	38.496648449589635
1(N14)	9(N01)	38.430714791744194
BAR	U4	38.150933423301865
3(N01)	BA	37.70640421669833
3(N57)	EN~a	37.593908258306534
1(N08)	U4	37.56075533661739
4(N01)	U4	37.53488470341918
AN	SZU2	37.2605436549402
5(N01)	U4	37.18006258447434
1(N25)	1(N42~a)	37.16478937728937
1(N01)	KU6~a	37.140090087071506
2(N01)	BU~a	36.431033092605986
1(N34)	5(N14)	36.368993613885245
3(N57)	PIRIG~b1	36.334525708209924
3(N14)	4(N01)	36.082270165764754
2(N45)	SZE~a	35.78335569659098
2(N14)	6(N01)	35.66128193701723
2(N14)	EN~a	35.60153561414431
PA~a	RAD~a	35.58064892623716
NAM2	RAD~a	35.57499999999998
5(N01)	SZE~a	35.497187942776186
1(N01)	GA2~a1	35.29917027417028
1(N01)	SIG2~b	34.792975330483074
2(N01)	E2~a	34.784653041628204
GAL~a	SZITA~a1	34.757140735081926
1(N01)	SZUBUR	34.68440476190474
1(N14)	GI	34.6615275913457
2(N01)	NUN~a	34.64047850905169
1(N01)	NAGAR~b	34.5
2(N14)	2(N34)	34.48924408924409
PAP~a	SZU	34.32565582565583
2(N01)	3(N01)	34.30820059133623
3(N01)	PAP~a	34.22829911699951
HI	NUN~a	34.08203385252617
1(N14)	AN	33.90104866397969
AN	HI	33.84276695526696
PAP~a	SZE~a	33.77166267709746
1(N34)	3(N01)	33.7639239028945
1(N57)	EN~a	33.737791035933455
5(N01)	UDU~a	33.71693861693862
3(N57)	E2~a	33.649411395900394
1(N34)	4(N01)	33.601758244335635
AN	MAR~a	33.58203463203463
EN~a	ME~a	33.449664572650846
5(N01)	EN~a	33.43653584977115
2(N14)	BA	33.35953324453325
4(N01)	BA	33.32854477328582
GISZ	SZU2~a	33.2376919863762
1(N57)	3(N01)	33.117592382686546
4(N01)	EN~a	33.10890781166356
1(N14)	PAP~a	33.09185702755793
AN	U4	32.770679692180714
1(N01)	MUSZ3~a	32.49824434824435
KU6~a	RAD~a	32.38735545500251
2(N01)	TUG2~a	32.18777777777778
1(N57)	1(N58)	32.14964122135177
1(N34)	5(N01)	31.756951016819443
1(N57)	SZUBUR	31.715047044458817
1(N01)	GI6	31.690454653231424
1(N14)	SAL	31.52488520466462
1(N01)	5(N01)	31.42097182229535
AN	KI	31.402508140008145
1(N01)	GAR	31.3647565884408
1(N57)	5(N01)	31.263242313242316
SAL	SZU	31.08854679941637
U4	UDU~a	30.948945498945495
1(N57)	2(N14)	30.920837680551298
2(N14)	7(N01)	30.850094578624002
AN	BA	30.81722240178123
1(N14)	2(N34)	30.78598378745438
1(N14)	GAR	30.691147191301987
1(N01)	U2~b	30.630463980463976
2(N01)	TUR	30.58985630323546
2(N01)	3(N57)	30.58028356388331
2(N14)	U4	30.534126984126978
1(N01)	DA~a	30.499211534079954
BU~a	SZE~a	30.439201096809796
1(N01)	GADA~a	30.158809523809527
3(N57)	SAL	30.109011013209937
3(N01)	UDU~a	29.986959772253893
1(N01)	4(N14)	29.575304515745696
BA	U4	29.567006196417964
2(N34)	3(N14)	29.357106782106786
1(N01)	ZATU659	29.326984126984126
NUN~a	SANGA~a	29.2662928059213
2(N14)	UDU~a	29.169505494505493
3(N01)	GI	29.15118647736615
TUR	U4	29.14420922081727
5(N01)	BA	28.996808746808746
BU~a	TUR	28.821807034569968
4(N14)	SZE~a	28.808790581623395
EN~a	TE	28.805211237564187
KAR2~a	NUN~a	28.761133175153134
1(N01)	GU4	28.740163757810823
1(N39~a)	SZE~a	28.646680856123584
1(N01)	AL	28.59243838949721
1(N01)	2(N57)	28.549824744221297
2(N01)	5(N01)	28.485887445887446
BA	UDU~a	28.25301659125189
SZE3	UDU~a	28.19484126984127
3(N01)	AN	28.14575175782072
AN	PAP~a	28.04903232050798
BAD	TUG2~a	27.973004773004785
3(N01)	4(N14)	27.891781829281836
1(N01)	UD5~a	27.768235025843733
2(N39~a)	SZE~a	27.7198209702827
HI@g~a	ZATU714	27.61269841269842
3(N57)	SU~a	27.563693547594475
1(N01)	UMUN2	27.55670995670997
PAP~a	U4	27.544873436113967
GI	U4	27.5437295585362
2(N01)	4(N01)	27.51340579726804
DI	NAM2	27.37360835243188
1(N57)	4(N01)	27.346927991742238
3(N57)	SZE~a	27.332278122559455
1(N01)	ZATU737	27.240476190476183
1(N01)	IB~a	27.228514214543623
1(N01)	MASZ	27.17351251689487
BU~a	DU	27.140327319739086
EN~a	TUG2~a	27.06515189488874
2(N01)	SI	26.994903846153846
A	TAK4~a	26.985668498168494
1(N01)	1(N58)	26.95042735042735
1(N01)	GAN2	26.91473665223665
1(N14)	1(N45)	26.74082265773443
PA~a	SZE~a	26.708780108780108
MUD	NUN~a	26.667477070573042
1(N01)	DUB~a	26.664087301587305
2(N01)	KUR~a	26.656295093795094
3(N01)	SZU	26.302722992581
1(N01)	UB	26.299242424242426
DUG~a	EN~a	26.260274082642507
1(N01)	TE	26.25972915972915
BU~a	SAL	26.14998423949831
GAL~a	GA~a	26.07438147507807
BU~a	GI	26.05042786161207
1(N01)	MA	26.01399346267767
2(N14)	8(N01)	25.998101538983896
3(N14)	6(N01)	25.925824175824182
3(N57)	BU~a	25.817266047134808
E2~a	KUR~a	25.72171162171162
EN~a	SANGA~a	25.717632367632365
1(N25)	2(N42~a)	25.673794261294265
1(N45)	2(N14)	25.634325396825403
E2~a	U4	25.612110267791124
4(N01)	4(N14)	25.52254928593938
5(N01)	SAL	25.41626984126984
1(N01)	ERIM~a	25.27411806030227
1(N14)	3(N14)	25.213140686283108
EN~a	KU6~a	25.17276992013834
EN~a	SZITA~a1	25.12895217546247
2(N01)	PA~a	25.00093456595005
1(N01)	SUKKAL	24.988148148148145
1(N24)	2(N01)	24.974298405561086
1(N34)	6(N01)	24.934802003552008
3(N01)	5(N14)	24.79402321534674
1(N57)	PAP~a	24.683411226965205
EN~a	GAL~a	24.654479409479414
DUG~a	KASZ~a	24.65238095238096
TAR	UDU~a	24.597994162700044
1(N01)	AMAR	24.577856939877403
1(N01)	SZA	24.458562327350347
1(N58)	GAL~a	24.426851442331316
KISAL~b1	KU6~a	24.374603174603173
5(N01)	AN	24.344380619380622
E2~a	SAL	24.340002504805142
EN~a	GA2~a1	24.316238742100815
AN	SZE~a	24.31129148629149
1(N01)	UR2	24.23937590187591
2(N01)	DU	24.236924741924746
3(N01)	3(N57)	24.19395707096893
E2~a	HI	24.141808518279106
1(N01)	NA~a	24.08715728715729
1(N01)	KASZ~c	24.060714285714287
2(N01)	5(N14)	24.03629104813315
3(N57)	NUNUZ~a1	24.036052531060268
1(N01)	5(N14)	24.01749427043545
1(N24)	1(N28)	24.00482531892268
3(N14)	8(N01)	23.987382756132757
LAGAB~b	TE	23.953889737713272
3(N57)	EN2	23.906162464985997
SAL	ZATU737	23.861507936507934
4(N01)	UDU~a	23.820478704302236
KU6~a	ZATU759	23.769841269841272
1(N57)@t	E2~a	23.564651440513515
1(N14)	E2~a	23.52236536733795
2(N01)	ME~a	23.44723193473194
1(N01)	UNUG~a	23.346506417559045
1(N01)	TUR3~a	23.335143097643098
2(N01)	SZU2	23.25847504347504
1(N01)	ZATU753	23.23577409432673
1(N01)	MASZ2	23.11308968808969
1(N34)	1(N58)	23.049987619879264
AN	SZU	23.038768638768648
3(N57)	TUR	23.027116647734918
2(N01)	DUG~c	23.027049908997174
1(N57)	3(N14)	22.966954150081087
GI	MUSZEN	22.87777806343983
ME~a	SI	22.87205944703656
