signI	signJ	{measureName}
1(N01)	GAL~a	505.4142177015818
1(N01)	EN~a	372.131678442163
1(N01)	AN	250.4594632586195
1(N01)	DUG~b	212.11428571428576
1(N14)	2(N01)	210.57384351622179
1(N01)	1(N14)	209.45170166898058
1(N01)	NAM2	196.1483106805476
1(N01)	U4	187.65056030237457
1(N01)	GISZ	184.42151875901894
1(N57)	U4	172.6760711510712
1(N14)	5(N01)	172.49647120165685
1(N01)	SAL	166.55854409608267
1(N01)	PAP~a	164.67976028936582
1(N14)	3(N01)	161.48535263124577
1(N01)	SZE~a	159.7689244346095
1(N01)	1(N57)	142.74650525445972
1(N14)	1(N34)	141.49131922429132
1(N01)	SANGA~a	139.50377615848208
1(N01)	GI	138.74502362467175
1(N14)	4(N01)	138.38888957447787
1(N01)	BU~a	135.83006616276734
1(N01)	NUN~a	134.27390143545745
NAM2	SZE~a	131.1237432012432
EN~a	NUN~a	122.91193108030593
1(N01)	SZU	121.85333929355673
2(N01)	EN~a	118.94368725179355
1(N01)	E2~a	117.24853844684726
1(N01)	BA	116.0416828600536
1(N01)	3(N57)	110.27910115770015
EN~a	PAP~a	106.0828428383032
AN	EN~a	105.73056384672431
2(N01)	2(N14)	104.20557491699903
1(N01)	2(N01)	104.03345833521647
1(N01)	SI	103.93263708513709
1(N14)	SZE~a	102.31108159070699
1(N34)	2(N14)	100.17850884220101
DU	EN~a	97.68033088641063
1(N01)	A	94.30573593073592
1(N01)	DUG~c	93.56639573876411
2(N01)	U4	92.75928838545751
2(N14)	3(N01)	91.62040444655024
1(N01)	KI	91.08747956292076
1(N01)	TUG2~a	91.04975156422522
1(N01)	AB~a	90.8660118905862
1(N01)	SAG	89.75865990090062
1(N01)	UDU~a	89.70474874798403
1(N01)	2(N14)	89.62997680069289
1(N01)	KUR~a	89.53669814877244
2(N01)	SZE~a	89.1840406563701
1(N01)	TUR	88.49354457966318
1(N01)	SZITA~a1	87.25340056400424
GA~a	ZATU753	86.41666666666667
1(N57)	BAR	85.77340566210536
AN	MUSZ3~a	84.68047420415839
2(N14)	5(N01)	84.21699458522211
1(N58)	BAD~a	84.0
1(N14)	U4	83.66485417262791
2(N14)	4(N01)	83.53356716383027
1(N01)	HI	82.1930690224808
1(N01)	AB2	82.10409639380227
1(N34)	3(N14)	81.87407166706701
1(N01)	DU	80.98804663173084
1(N14)	EN~a	80.70039976405965
1(N01)	KU3~a	80.52371657754007
NI~a	RU	80.49047619047619
BU~a	PAP~a	78.67350892748027
1(N01)	ME~a	78.45403291153288
1(N01)	SZU2	77.70296837665258
2(N14)	SZE~a	77.38160223930866
3(N01)	SZE~a	76.75411687422333
1(N01)	KU6~a	75.44669341021893
1(N14)	UDU~a	75.06905964405965
1(N01)	BAR	74.85709452226479
2(N01)	SAL	74.75455777794485
1(N01)	GA~a	74.0268856466031
2(N01)	PAP~a	73.02141811111119
1(N01)	SZUBUR	72.38894066717599
1(N57)	DUG~c	71.50009201324991
1(N14)	6(N01)	71.17543347175699
1(N01)	NE~a	70.58347792558317
1(N01)	NI~a	69.73603896103893
EN~a	SZE~a	69.54579701344406
GAL~a	SANGA~a	68.49043707926056
1(N01)	MUSZEN	67.84204227145403
EN~a	SZU2	67.77089253339253
1(N24)	2(N39~a)	67.23500976639811
2(N57)	U4	66.22050403300403
1(N01)	3(N01)	65.59538310962604
1(N57)	2(N01)	65.32000458691635
EN~a	SZU	65.13758499645982
KUR~a	SAL	65.08708791208791
1(N01)	SU~a	63.80346336669866
3(N01)	EN~a	63.576982192998805
1(N01)	PA~a	63.53222424740648
2(N01)	AN	61.745020347036444
1(N01)	3(N14)	61.73042349807054
1(N45)	SZE~a	61.27226025326937
2(N01)	BA	61.03626475863317
BA	EN~a	60.90558304999093
4(N01)	SZE~a	60.7542892825654
BAR	U4	59.206495405179595
1(N14)	BA	59.029997181467756
PAP~a	SU~a	58.90996359139577
3(N57)	U4	58.54064932888462
1(N14)	8(N01)	58.44808209409229
EN~a	U4	57.93235320393549
1(N01)	1(N08)	57.52363599044631
EN~a	HI	56.937538343075
1(N34)	4(N14)	55.8945897325928
3(N14)	5(N01)	55.04784221626324
2(N01)	GI	54.90820187830548
BU~a	DU6~a	54.8
1(N01)	UMUN2	54.728431372549025
1(N34)	2(N01)	54.3229900362795
1(N01)	GU4	54.1908963585434
BA	GI	54.0502997002997
1(N01)	1(N24)	54.042812618175205
1(N08)	U4	53.776515151515156
PAP~a	SAL	53.28428271801958
EN~a	PA~a	53.283624286341656
EN~a	KI	52.58014941802252
1(N01)	TAK4~a	52.31616904337493
3(N57)	PAP~a	51.491187705197
1(N01)	SIG2~b	51.37906727775147
EN~a	IB~a	51.37683441000003
NAM2	PAP~a	51.21893280695913
1(N14)	1(N57)	50.70854160758253
EN~a	TUR	50.70243181636229
SZE~a	U4	50.24428559568076
3(N01)	3(N14)	50.11827930239691
2(N01)	3(N14)	49.96292707292707
1(N57)	SAL	49.889430852085646
3(N01)	U4	49.71028830064341
1(N01)	TE	49.52652528630787
EN~a	SAL	49.35072733705607
BA	SZE~a	49.168079787859185
BU~a	NAM2	48.939427239427204
1(N01)	GAR	48.73251105619528
2(N01)	SZU	48.43858226409375
2(N01)	UDU~a	48.40694444444445
EN~a	GI	48.381019956930324
1(N24)	SZE~a	48.37344756929069
3(N14)	SZE~a	48.15572621822623
3(N01)	SAL	48.06508221310852
