signI	signJ	{measureName}
1(N01)	2(N01)	786.9585057749612
1(N01)	1(N14)	635.9223534833718
1(N01)	EN~a	569.4074150824703
1(N14)	2(N01)	567.3683709193502
1(N01)	3(N01)	503.759661998907
2(N01)	3(N01)	435.7088887173636
1(N01)	N	434.6191439658391
1(N14)	3(N01)	410.673957291267
1(N01)	AN	400.2517422450795
1(N01)	GAL~a	386.2736414372904
1(N14)	5(N01)	380.81191783794236
1(N01)	4(N01)	370.1018177942588
1(N01)	5(N01)	366.7946153984333
1(N14)	2(N14)	360.35536989387646
2(N01)	EN~a	352.9455528034007
1(N01)	SZE~a	351.498450213531
1(N01)	2(N14)	348.3580550062557
1(N01)	U4	347.57507683397995
2(N01)	2(N14)	340.9048907256567
1(N14)	4(N01)	339.2350299596343
2(N01)	4(N01)	332.61997768800035
2(N01)	5(N01)	322.000537160376
1(N14)	EN~a	298.15638321702136
1(N01)	PAP~a	297.07628566382573
1(N14)	1(N34)	294.63589285338276
1(N01)	SAL	290.88411969405354
1(N01)	NUN~a	287.3825581917901
1(N01)	GI	284.2963017518816
1(N01)	BA	282.27064572421625
2(N14)	3(N01)	279.2036862273821
1(N01)	SANGA~a	277.51334447636464
1(N01)	1(N57)	277.2042752178627
1(N01)	BU~a	276.7478920388
1(N01)	SZU	261.33718674960863
3(N01)	5(N01)	257.92099267637747
3(N01)	4(N01)	252.6998854009761
1(N01)	1(N34)	252.1992591506205
1(N01)	A	249.1933711144318
1(N01)	NAM2	244.67349634012413
1(N01)	UDU~a	242.12516819380855
1(N14)	3(N14)	241.68609916940645
1(N14)	SZE~a	240.10134193395749
3(N01)	EN~a	239.70245171674105
1(N01)	E2~a	238.81560425511339
AN	EN~a	233.49345015304348
2(N01)	SZE~a	231.15832966289742
2(N14)	5(N01)	229.51878061117304
1(N34)	2(N14)	224.988981070386
1(N01)	3(N14)	224.57084163882203
1(N01)	3(N57)	224.22472399155706
2(N01)	AN	222.26853953171172
2(N01)	U4	221.57170264030316
2(N14)	4(N01)	221.08449076122056
EN~a	PAP~a	218.04542814908666
1(N01)	6(N01)	212.97497848556088
1(N01)	DU	211.2572626275317
2(N01)	3(N14)	207.80209896728732
1(N34)	2(N01)	207.30569805625433
1(N14)	6(N01)	206.9275687725904
1(N01)	AB~a	204.59285438203617
1(N01)	ME~a	204.4983483022391
2(N14)	3(N14)	203.5455640434178
2(N01)	BA	203.134219978013
2(N01)	PAP~a	201.54480911092548
1(N01)	SAG	200.97094918774238
1(N14)	U4	198.1060282524416
2(N01)	SAL	196.82166039292488
4(N01)	5(N01)	195.41347701330537
EN~a	NUN~a	193.48911337116405
2(N14)	EN~a	192.79823317190525
2(N01)	UDU~a	191.08375243491844
1(N57)	2(N01)	190.95473517074188
1(N14)	BA	188.12931738477428
5(N01)	EN~a	187.77934428049386
3(N01)	SZE~a	186.8100779439812
