signI	signJ	{measureName}
1(N01)	2(N01)	794.6339282469519
1(N01)	1(N14)	642.4168411507906
1(N01)	EN~a	575.1978683573022
1(N14)	2(N01)	573.8999129764057
1(N01)	3(N01)	508.76215460140963
2(N01)	3(N01)	440.1294371777264
1(N01)	N	438.4997947954497
1(N14)	3(N01)	413.9550629117981
1(N01)	AN	402.80019598574734
1(N01)	GAL~a	387.8558698595726
1(N14)	5(N01)	384.0109606843261
1(N01)	4(N01)	373.81263692340707
1(N01)	5(N01)	370.59451675869127
1(N14)	2(N14)	364.98954177947405
2(N01)	EN~a	356.97360988939806
1(N01)	SZE~a	354.44517968158647
1(N01)	2(N14)	352.2738519968258
1(N01)	U4	350.7512891420894
2(N01)	2(N14)	344.7489706783576
1(N14)	4(N01)	341.8561797614836
2(N01)	4(N01)	335.8528837270664
2(N01)	5(N01)	325.6627408712647
1(N14)	EN~a	301.44771837135016
1(N01)	PAP~a	300.47692151582976
1(N14)	1(N34)	297.90662398816687
1(N01)	SAL	293.64807907834785
1(N01)	NUN~a	290.21123371381515
1(N01)	GI	285.9016301984307
1(N01)	BA	285.64221711866645
2(N14)	3(N01)	281.1963698218093
1(N01)	1(N57)	280.79769684925736
1(N01)	SANGA~a	280.00559157163127
1(N01)	BU~a	278.5511093858468
1(N01)	SZU	263.15519771430246
3(N01)	5(N01)	259.9964464439987
3(N01)	4(N01)	254.82790786457167
1(N01)	1(N34)	254.62380536312008
1(N01)	A	251.24818890260534
1(N01)	NAM2	246.81922948980386
1(N01)	UDU~a	244.6405788390615
1(N14)	3(N14)	244.63665078668302
1(N14)	SZE~a	242.11741291003182
3(N01)	EN~a	241.91732441671348
1(N01)	E2~a	240.84105342253906
AN	EN~a	235.33403239368866
2(N01)	SZE~a	232.7265755282312
2(N14)	5(N01)	231.87506692394675
1(N34)	2(N14)	227.3395719424697
1(N01)	3(N14)	226.89830866528578
1(N01)	3(N57)	226.64038976217097
2(N01)	U4	224.30014898381094
2(N01)	AN	223.68273541281488
2(N14)	4(N01)	222.59862227148005
EN~a	PAP~a	219.51730818743226
1(N01)	6(N01)	215.32651397732468
1(N01)	DU	212.8071747943325
2(N01)	3(N14)	210.03623971665073
1(N34)	2(N01)	209.69063242707972
1(N14)	6(N01)	208.4233639221861
2(N01)	BA	205.91321242550342
1(N01)	ME~a	205.83220668513536
2(N14)	3(N14)	205.70047921080672
1(N01)	AB~a	205.65651672408117
2(N01)	PAP~a	203.33440930667118
1(N01)	SAG	202.49473163872153
1(N14)	U4	200.67048069247664
2(N01)	SAL	197.9427038222823
4(N01)	5(N01)	197.4940056794282
EN~a	NUN~a	197.12254858306048
2(N14)	EN~a	194.84694552897975
2(N01)	UDU~a	193.76980815687364
1(N57)	2(N01)	193.58931942477167
1(N14)	BA	190.04604752401428
5(N01)	EN~a	189.94763062064484
2(N01)	6(N01)	188.60767151293808
3(N01)	SZE~a	188.16994504814468
1(N01)	KI	188.14089037177743
1(N01)	HI	187.2528625003689
1(N01)	SI	186.2942103459991
EN~a	SZE~a	186.09344447327533
1(N01)	PA~a	184.99842775131106
1(N14)	AN	183.4360326652668
DU	EN~a	183.43203037532948
1(N14)	UDU~a	183.2407298205958
1(N01)	KU6~a	181.75049814371658
2(N14)	SZE~a	179.83301787129187
EN~a	SZU	176.99884892925465
4(N01)	EN~a	174.87020014209875
1(N01)	SZU2	174.8423546589297
1(N01)	TUR	174.37068306721935
1(N14)	GI	173.61191802321486
2(N01)	SZU	172.56369464675967
2(N01)	GI	172.459094196873
1(N34)	3(N14)	171.9733046582284
EN~a	U4	170.45573567904265
3(N01)	3(N14)	168.7221113885231
3(N01)	U4	168.7014634540017
EN~a	GAL~a	166.70448492868047
1(N14)	1(N57)	166.22869306261205
1(N14)	PAP~a	165.621921245651
1(N01)	GA~a	165.5459649159802
3(N14)	5(N01)	165.45531468918784
3(N01)	AN	163.6479640170149
1(N57)	U4	163.40157777562715
1(N01)	NE~a	161.93972675670037
1(N01)	TE	161.2609151906118
1(N01)	BAR	160.94421904989528
1(N14)	8(N01)	159.99746674920303
1(N01)	7(N01)	159.77170877733792
2(N01)	BU~a	157.81773535048436
2(N01)	E2~a	156.421936012719
1(N14)	4(N14)	156.3589945749375
1(N14)	SAL	156.2575372849906
EN~a	SAL	155.94781043049886
1(N34)	5(N01)	155.86693243272893
1(N14)	7(N01)	155.0205032973261
2(N01)	A	154.68026147281267
1(N01)	SZITA~a1	153.9390625112228
BU~a	EN~a	152.83705637830244
EN~a	GI	152.82359715431812
2(N01)	3(N57)	152.14465700990033
3(N57)	EN~a	152.14230781705706
1(N34)	3(N01)	152.07498506319843
1(N01)	NI~a	151.45337631257843
2(N01)	NUN~a	151.42410169929903
3(N01)	BA	151.35538108107923
3(N01)	6(N01)	151.0495271083191
A	EN~a	150.8750036245217
GAL~a	SANGA~a	148.14520559518863
2(N01)	SANGA~a	147.89085307604418
NAM2	SZE~a	147.84481490836765
3(N14)	4(N01)	147.2074080093744
1(N01)	SZUBUR	146.84202972730975
1(N01)	4(N14)	146.8148334945575
1(N01)	AB2	146.77100577697763
BA	EN~a	146.4040147627005
EN~a	SANGA~a	144.34852725261413
1(N01)	GAR	143.96824131189123
1(N01)	8(N01)	143.63435234297842
2(N01)	DU	143.42294217446138
2(N01)	GAL~a	142.95021473295824
2(N14)	6(N01)	142.55170144664535
BU~a	PAP~a	142.54166710935002
2(N01)	4(N14)	142.2960878266317
3(N01)	UDU~a	141.26287533203734
2(N14)	4(N14)	140.1597383622278
3(N01)	PAP~a	139.40298291359102
3(N01)	SAL	139.20010985510845
1(N34)	4(N01)	138.36185016058346
EN~a	KI	138.21917569104997
1(N01)	MUSZ3~a	138.20954323631062
4(N01)	SZE~a	138.2042612676512
1(N01)	IB~a	137.85643302002742
1(N01)	DUG~b	137.0142228876968
1(N01)	GISZ	136.59230097070073
1(N57)	3(N01)	135.97524193345336
E2~a	EN~a	135.72410864409952
1(N14)	3(N57)	135.02167670401786
3(N14)	EN~a	134.60315210315616
SZE~a	U4	134.43917223227825
EN~a	ME~a	133.2373491013974
1(N14)	SZU	132.2712029907544
4(N01)	U4	131.89733816643877
PAP~a	SAL	131.66012282538242
EN~a	PA~a	131.36411732165303
1(N34)	4(N14)	131.15295584796237
1(N01)	MUSZEN	131.03271767458145
2(N01)	7(N01)	130.81716616303285
2(N01)	8(N01)	130.56249026411174
1(N14)	SANGA~a	130.40893391507362
5(N01)	6(N01)	130.11806663411815
1(N14)	E2~a	130.09304102940587
4(N01)	6(N01)	129.97847142688497
1(N14)	A	129.68880159307582
1(N14)	5(N14)	129.17792334947188
EN~a	NAM2	129.0848208272346
1(N01)	KUR~a	128.0872434025849
EN~a	SAG	127.82522053102096
5(N01)	U4	127.19401010639031
5(N01)	SZE~a	127.07381858217812
EN~a	SI	126.86973228549957
3(N57)	PAP~a	126.61319350546428
1(N14)	GAL~a	126.58950864033655
3(N01)	GI	126.18352101141556
2(N01)	PA~a	125.86450763131761
1(N34)	EN~a	125.46620035243721
1(N57)	EN~a	124.56142114114218
3(N01)	SZU	124.09077101512281
2(N14)	U4	124.0821654131906
4(N14)	5(N01)	123.99907896491318
2(N01)	ME~a	123.69101529642631
1(N01)	DUG~c	123.42126862228584
AN	U4	122.95992844911875
1(N01)	SU~a	122.78688622242741
2(N01)	KI	122.12430236954074
2(N01)	NAM2	121.96110921757823
GI	SZE~a	121.63356315118094
3(N14)	SZE~a	121.38944157860537
2(N01)	SAG	121.31929693013244
2(N14)	BA	121.04929963369896
2(N01)	SZU2	120.19112483596945
2(N01)	SI	120.16534804131398
BA	SZE~a	120.09011803213976
1(N01)	KU3~a	119.94002840011805
1(N01)	TUG2~a	119.60296690517586
3(N01)	A	119.12704065442963
AN	PAP~a	119.11179257234464
3(N01)	4(N14)	118.53864560020966
1(N14)	NUN~a	118.08316397424524
EN~a	HI	117.87635747632362
1(N14)	DU	117.63025416631272
PAP~a	SZU	117.59072563817094
2(N01)	AB~a	117.25334936707588
PAP~a	SZE~a	116.97773034592852
2(N14)	SAL	116.73172486072698
2(N01)	KU6~a	116.67404043757864
1(N01)	DA~a	116.66368158815831
AN	NUN~a	116.54641629708253
1(N57)	5(N01)	116.42261709808298
A	AN	116.20005312786768
1(N14)	9(N01)	116.16498873568678
4(N01)	AN	115.77232688927876
1(N01)	RU	115.72708545992407
3(N01)	7(N01)	115.51978026619426
3(N01)	NUN~a	114.35901116651868
DU	PAP~a	113.90742628761413
1(N57)	2(N14)	113.86896661513691
3(N01)	3(N57)	113.6475871863455
AN	SZU	113.64430491274841
AB~a	EN~a	113.44055920771426
1(N14)	BU~a	113.12510641488427
4(N01)	BA	112.85337002302926
2(N14)	AN	112.60457618925159
AN	SZE~a	112.3494565382269
5(N01)	AN	111.98978430985528
5(N01)	UDU~a	111.69549550335388
1(N01)	MASZ	111.45659210685943
3(N01)	BU~a	111.27693005713299
3(N01)	GAL~a	110.76576799203262
GAL~a	N	110.69779993270234
2(N14)	UDU~a	110.68160126029265
1(N01)	TAK4~a	110.52304136916452
1(N14)	KU6~a	110.29382421775013
BA	GI	110.2307955882605
2(N14)	GI	109.85415680122853
3(N01)	8(N01)	109.59828421786924
1(N01)	5(N14)	108.74207165207272
1(N01)	SUHUR	108.72812241381264
1(N01)	RAD~a	108.51446265366972
AN	BU~a	108.3727177750688
AN	SAL	108.35872404700562
2(N14)	7(N01)	108.20382345365527
1(N14)	KI	107.9521668578075
1(N14)	2(N34)	107.86238884473866
PAP~a	U4	107.77766820843075
1(N14)	PA~a	107.76003482447133
EN~a	SZU2	107.55690633197904
1(N01)	9(N01)	107.00765961796361
2(N01)	BAR	106.58202346287062
3(N14)	4(N14)	106.54412170355909
1(N14)	GAR	106.42948150569704
5(N01)	SAL	106.18544471556415
3(N01)	DU	105.7031364800387
1(N14)	SZU2	105.36001482226571
2(N01)	NI~a	104.80838021803807
1(N01)	APIN~a	104.57192601323162
EN~a	UDU~a	104.48370151591102
1(N57)	4(N01)	104.12080497236886
AN	MUSZ3~a	103.61981612367448
4(N01)	4(N14)	103.51663669425389
GI	PAP~a	103.43742863987363
4(N01)	UDU~a	103.4243752600784
6(N01)	EN~a	103.39106101300037
3(N01)	SANGA~a	103.36682982983012
2(N01)	5(N14)	103.02044921363503
2(N14)	PAP~a	102.95285768079972
5(N01)	PAP~a	102.44417648765734
1(N01)	DI	102.14341759265753
1(N01)	GU7	102.06230611641949
1(N01)	KISAL~b1	101.9621549287282
EN~a	KU6~a	101.88742929894806
AN	BA	101.59088653211407
2(N01)	TUR	101.31749868600349
GAL~a	NAM2	101.29478770986721
5(N01)	8(N01)	101.248891699994
5(N01)	BA	100.9113321692259
EN~a	TE	100.64556981026146
EN~a	TUR	100.55589469692457
1(N01)	TUR3~a	100.51077877759111
3(N01)	E2~a	100.43847749027859
2(N01)	9(N01)	100.14035422926084
1(N14)	ME~a	100.13170258183798
BU~a	SZE~a	100.10717422667916
1(N01)	UNUG~a	99.96159893212321
1(N01)	UD5~a	99.91852884677938
A	BU~a	99.53672406076745
2(N14)	2(N34)	99.46728627547269
SAL	U4	99.28516308438665
AN	KI	99.24139358675521
EN~a	IB~a	99.05111494036514
AN	GI	98.85589669513111
1(N57)	BAR	98.29060594468055
BA	U4	97.95222511366093
3(N57)	E2~a	97.89509388559998
3(N57)	SAL	97.55709764528088
3(N01)	5(N14)	97.41432401731662
1(N01)	GA2~a1	97.3924046923743
1(N01)	DUG~a	97.10179417635936
1(N01)	1(N24)	97.02799171427957
2(N01)	HI	96.96697501264038
1(N57)	SAL	96.87306694712836
4(N01)	SAL	96.65160536563998
4(N01)	GI	96.64903543848463
3(N57)	U4	96.16624573384925
A	SZE~a	96.16493356234133
5(N01)	GI	96.15069985433499
GI	U4	96.12869429923794
2(N01)	GAR	96.08608444646686
1(N14)	BAR	96.05891276711527
1(N14)	NAM2	96.05409033419785
A	PAP~a	95.69267437922811
1(N45)	SZE~a	95.58140437943966
1(N34)	2(N34)	95.44165371813156
1(N14)	SI	95.28688608308705
1(N01)	ZATU753	95.14620655349366
5(N01)	7(N01)	95.06116018880957
1(N34)	SZE~a	95.04006420621523
1(N57)	BA	94.68274140019399
1(N14)	AB~a	94.64030420824488
3(N57)	SZE~a	94.48803096046733
4(N01)	PAP~a	94.46833202851379
1(N01)	GU4	94.43603338114448
2(N14)	8(N01)	94.26528321317441
1(N34)	6(N01)	94.22984665331369
1(N01)	URU~a1	94.09126978071316
PA~a	SZE~a	93.89758041415672
4(N01)	8(N01)	93.78820786806834
3(N01)	BAR	93.72371300631345
5(N14)	SZE~a	93.39124495218093
SZE~a	SZU	93.3896805981428
AN	GAL~a	93.34395708117073
2(N14)	5(N14)	93.2777885178942
AN	E2~a	93.25488506604387
3(N57)	BU~a	93.22629201160034
1(N01)	SZA	93.14176742065126
1(N01)	ERIM~a	93.13556401938628
1(N01)	U2~b	93.11535753025757
3(N14)	6(N01)	92.47155082209014
1(N01)	1(N08)	92.1781808550237
SAL	SZE~a	92.14703207831428
SAL	SZU	91.90883120857991
1(N01)	E2~b	91.87560086930405
1(N01)	NAGA~a	91.13148716454364
1(N01)	SUKKAL	91.07937162492533
4(N14)	EN~a	90.97856474646545
BU~a	SAL	90.81507043379197
4(N01)	7(N01)	90.76987101807588
3(N01)	PA~a	90.36064615463468
EN~a	SZUBUR	90.0705162256453
1(N01)	MA	89.8637139101334
1(N14)	HI	89.6850503159088
1(N01)	ERIN	89.63156197570956
5(N01)	GAL~a	89.59713396203495
2(N01)	SZITA~a1	89.49491024073214
1(N01)	UB	89.48092826855546
1(N14)	SAG	89.44360272022116
AN	HI	89.39244159286103
3(N57)	AN	89.32211491883527
3(N01)	SI	89.2901084594227
SAL	SANGA~a	89.03944995666909
BU~a	NAM2	88.951091222711
GAL~a	SZE~a	88.82466982324185
