book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,5,4,2169,יְמֵי־,,yᵊmê-,
Genesis,5,4,2170,אָדָ֗ם ,,ʔāḏˈām, 
Genesis,5,4,2175,שְׁמֹנֶ֥ה ,,šᵊmōnˌeh, 
Genesis,5,4,2176,מֵאֹ֖ת ,,mēʔˌōṯ, 
Genesis,5,5,2185,כָּל־,,kol-,
Genesis,5,5,2186,יְמֵ֤י ,,yᵊmˈê, 
Genesis,5,5,2187,אָדָם֙ ,,ʔāḏˌām, 
Genesis,5,5,2190,תְּשַׁ֤ע ,,tᵊšˈaʕ, 
Genesis,5,5,2191,מֵאֹות֙ ,,mēʔôṯ, 
Genesis,5,5,2194,שְׁלֹשִׁ֖ים ,,šᵊlōšˌîm, 
Genesis,5,8,2230,כָּל־,,kol-,
Genesis,5,8,2231,יְמֵי־,,yᵊmê-,
Genesis,5,8,2232,שֵׁ֔ת ,,šˈēṯ, 
Genesis,5,8,2233,שְׁתֵּ֤ים ,,šᵊttˈêm, 
Genesis,5,8,2234,עֶשְׂרֵה֙ ,,ʕeśrˌē, 
Genesis,5,8,2237,תְשַׁ֥ע ,,ṯᵊšˌaʕ, 
Genesis,5,8,2238,מֵאֹ֖ות ,,mēʔˌôṯ, 
Genesis,5,11,2272,כָּל־,,kol-,
Genesis,5,11,2273,יְמֵ֣י ,,yᵊmˈê, 
Genesis,5,11,2274,אֱנֹ֔ושׁ ,,ʔᵉnˈôš, 
Genesis,5,11,2275,חָמֵ֣שׁ ,,ḥāmˈēš, 
Genesis,5,11,2278,תְשַׁ֥ע ,,ṯᵊšˌaʕ, 
Genesis,5,11,2279,מֵאֹ֖ות ,,mēʔˌôṯ, 
Genesis,5,14,2312,כָּל־,,kol-,
Genesis,5,14,2313,יְמֵ֣י ,,yᵊmˈê, 
Genesis,5,14,2314,קֵינָ֔ן ,,qênˈān, 
Genesis,5,14,2315,עֶ֣שֶׂר ,,ʕˈeśer, 
Genesis,5,14,2318,תְשַׁ֥ע ,,ṯᵊšˌaʕ, 
Genesis,5,14,2319,מֵאֹ֖ות ,,mēʔˌôṯ, 
Genesis,5,17,2355,כָּל־,,kol-,
Genesis,5,17,2356,יְמֵ֣י ,,yᵊmˈê, 
Genesis,5,17,2357,מַהֲלַלְאֵ֔ל ,,mahᵃlalʔˈēl, 
Genesis,5,17,2358,חָמֵ֤שׁ ,,ḥāmˈēš, 
Genesis,5,17,2360,תִשְׁעִים֙ ,,ṯišʕîm, 
Genesis,5,17,2363,שְׁמֹנֶ֥ה ,,šᵊmōnˌeh, 
Genesis,5,17,2364,מֵאֹ֖ות ,,mēʔˌôṯ, 
Genesis,5,20,2399,כָּל־,,kol-,
Genesis,5,20,2400,יְמֵי־,,yᵊmê-,
Genesis,5,20,2401,יֶ֔רֶד ,,yˈereḏ, 
Genesis,5,20,2402,שְׁתַּ֤יִם ,,šᵊttˈayim, 
Genesis,5,20,2404,שִׁשִּׁים֙ ,,šiššîm, 
Genesis,5,20,2407,תְשַׁ֥ע ,,ṯᵊšˌaʕ, 
